match_id,innings_id,team_id,player_id,playing_xi,batting_order,primary_role
1,1,1,15,True,1,Batter
1,1,1,1,True,2,Batter
1,1,1,6,True,3,Batter
1,1,1,13,True,4,Batter
1,1,1,2,True,5,Batter
1,1,1,12,True,6,All-Rounder
1,1,1,7,True,7,Bowler
1,1,1,9,True,8,Bowler
1,1,1,14,True,9,Bowler
1,1,1,8,True,10,Bowler
1,1,1,10,True,11,Bowler
1,2,2,27,True,1,Batter
1,2,2,30,True,2,Batter
1,2,2,26,True,3,Batter
1,2,2,17,True,4,Batter
1,2,2,19,True,5,Wicketkeeper
1,2,2,21,True,6,Batter
1,2,2,29,True,7,Bowler
1,2,2,22,True,8,Bowler
1,2,2,24,True,9,Bowler
1,2,2,23,True,10,Bowler
1,2,2,25,True,11,Bowler
2,3,3,36,True,1,Batter
2,3,3,31,True,2,Batter
2,3,3,41,True,3,Batter
2,3,3,32,True,4,Batter
2,3,3,33,True,5,All-Rounder
2,3,3,42,True,6,All-Rounder
2,3,3,44,True,7,Bowler
2,3,3,38,True,8,Bowler
2,3,3,40,True,9,Bowler
2,3,3,37,True,10,Bowler
2,3,3,39,True,11,Bowler
2,4,1,15,True,1,Batter
2,4,1,1,True,2,Batter
2,4,1,6,True,3,Batter
2,4,1,13,True,4,Batter
2,4,1,2,True,5,Batter
2,4,1,12,True,6,All-Rounder
2,4,1,7,True,7,Bowler
2,4,1,9,True,8,Bowler
2,4,1,14,True,9,Bowler
2,4,1,8,True,10,Bowler
2,4,1,10,True,11,Bowler
3,5,4,60,True,1,Batter
3,5,4,46,True,2,Batter
3,5,4,56,True,3,Batter
3,5,4,58,True,4,Batter
3,5,4,57,True,5,All-Rounder
3,5,4,47,True,6,Batter
3,5,4,55,True,7,Bowler
3,5,4,59,True,8,Bowler
3,5,4,54,True,9,Bowler
3,5,4,53,True,10,Bowler
3,5,4,52,True,11,Bowler
3,6,1,15,True,1,Batter
3,6,1,1,True,2,Batter
3,6,1,6,True,3,Batter
3,6,1,13,True,4,Batter
3,6,1,2,True,5,Batter
3,6,1,12,True,6,All-Rounder
3,6,1,7,True,7,Bowler
3,6,1,9,True,8,Bowler
3,6,1,14,True,9,Bowler
3,6,1,8,True,10,Bowler
3,6,1,10,True,11,Bowler
4,7,2,27,True,1,Batter
4,7,2,30,True,2,Batter
4,7,2,26,True,3,Batter
4,7,2,17,True,4,Batter
4,7,2,19,True,5,Wicketkeeper
4,7,2,21,True,6,Batter
4,7,2,29,True,7,Bowler
4,7,2,22,True,8,Bowler
4,7,2,24,True,9,Bowler
4,7,2,23,True,10,Bowler
4,7,2,25,True,11,Bowler
4,8,3,36,True,1,Batter
4,8,3,31,True,2,Batter
4,8,3,41,True,3,Batter
4,8,3,32,True,4,Batter
4,8,3,33,True,5,All-Rounder
4,8,3,42,True,6,All-Rounder
4,8,3,44,True,7,Bowler
4,8,3,38,True,8,Bowler
4,8,3,40,True,9,Bowler
4,8,3,37,True,10,Bowler
4,8,3,39,True,11,Bowler
5,9,4,60,True,1,Batter
5,9,4,46,True,2,Batter
5,9,4,56,True,3,Batter
5,9,4,58,True,4,Batter
5,9,4,57,True,5,All-Rounder
5,9,4,47,True,6,Batter
5,9,4,55,True,7,Bowler
5,9,4,59,True,8,Bowler
5,9,4,54,True,9,Bowler
5,9,4,53,True,10,Bowler
5,9,4,52,True,11,Bowler
5,10,2,27,True,1,Batter
5,10,2,30,True,2,Batter
5,10,2,26,True,3,Batter
5,10,2,17,True,4,Batter
5,10,2,19,True,5,Wicketkeeper
5,10,2,21,True,6,Batter
5,10,2,29,True,7,Bowler
5,10,2,22,True,8,Bowler
5,10,2,24,True,9,Bowler
5,10,2,23,True,10,Bowler
